Wall time,Step,Value_gray,Value
1559537067,0,0.661602974,0.697170496
1559537402,1,0.484987855,0.481311113
1559537704,2,0.433382899,0.427273899
1559538005,3,0.408143789,0.401992291
1559538304,4,0.390692919,0.392600536
1559538604,5,0.377308786,0.383031726
1559538905,6,0.36090067,0.367276043
1559539205,7,0.354227304,0.362892717
1559539501,8,0.34787935,0.352687001
1559539803,9,0.338774353,0.353351861
1559540101,10,0.330232531,0.338149697
1559540400,11,0.325784385,0.336701185
1559540700,12,0.318854749,0.3237243
1559540998,13,0.314501256,0.345432162
1559541295,14,0.315348148,0.316936433
1559541598,15,0.310283184,0.315260679
1559541901,16,0.298320115,0.324746072
1559542198,17,0.294047058,0.311796367
1559542499,18,0.293530494,0.303221017
1559542794,19,0.293845087,0.308702618
1559543093,20,0.286660224,0.297460139
1559543392,21,0.28003037,0.304449588
1559543687,22,0.281977177,0.302766651
1559543987,23,0.273907632,0.300603986
1559544284,24,0.269929618,0.292932987
1559544580,25,0.266042262,0.292715609
1559544881,26,0.273959994,0.296202779
1559545179,27,0.268194497,0.295384824
1559545478,28,0.262655824,0.287815243
1559545778,29,0.262524843,0.280411869
1559546076,30,0.26145345,0.283013999
1559546377,31,0.255956471,0.289279044
1559546677,32,0.254888386,0.287418127
1559546976,33,0.252262175,0.27422899
1559547277,34,0.253008395,0.280122548
1559547577,35,0.251343429,0.273279339
1559547879,36,0.244445413,0.282723457
1559548178,37,0.247223884,0.268023282
1559548479,38,0.24033463,0.267845303
1559548777,39,0.240695566,0.269071817
1559549215,40,0.228611171,0.248538867
1559549579,41,0.215259746,0.241351292
1559549942,42,0.210535899,0.226121098
1559550304,43,0.207296938,0.218691066
1559550663,44,0.203942508,0.223024875
1559551026,45,0.199481323,0.220946386
1559551389,46,0.196419984,0.217684731
1559551749,47,0.191916719,0.20756869
1559552110,48,0.19047682,0.212926939
1559552470,49,0.186582208,0.20982556
1559552834,50,0.186560735,0.205366418
1559553193,51,0.185755059,0.207731202
1559553554,52,0.18275319,0.20194228
1559553916,53,0.182854548,0.208421186
1559554279,54,0.18073675,0.201837763
1559554638,55,0.181715146,0.201315716
1559554996,56,0.177275673,0.201603994
1559555358,57,0.176127046,0.19910787
1559555721,58,0.173868626,0.19737041
1559556080,59,0.17227301,0.195339099
1559556442,60,0.173246324,0.186707571
1559556803,61,0.168965921,0.197403088
1559557163,62,0.17220217,0.193335369
1559557522,63,0.166969046,0.190710559
1559557880,64,0.168381795,0.186356768
1559558237,65,0.162036896,0.185340121
1559558593,66,0.161697119,0.184880301
1559558955,67,0.163192824,0.191057146
1559559309,68,0.162252888,0.185603797
1559559666,69,0.157217383,0.182826802
1559560020,70,0.157680914,0.183664873
1559560374,71,0.159281224,0.180979863
1559560731,72,0.156347021,0.183490753
1559561088,73,0.157191306,0.175692976
1559561443,74,0.155805424,0.179713294
1559561797,75,0.151505277,0.179234371
1559562151,76,0.152846232,0.183884829
1559562510,77,0.152448803,0.175501779
1559562862,78,0.151898295,0.175648868
1559563214,79,0.150551036,0.172437727
1559563571,80,0.14919053,0.173584402
1559563931,81,0.149172515,0.174794659
1559564283,82,0.147535473,0.171794593
1559564637,83,0.146414772,0.168563426
1559564992,84,0.146797925,0.170481548
1559565348,85,0.148458585,0.173628762
1559565702,86,0.149855331,0.16398491
1559566054,87,0.148559704,0.161687165
1559566413,88,0.14794898,0.163357764
1559566765,89,0.147682473,0.16561757
1559567115,90,0.149717912,0.164794192
1559567474,91,0.148400813,0.159523919
1559567826,92,0.147195339,0.16389659
1559568178,93,0.145773709,0.172845244
1559568531,94,0.147769973,0.163671836
1559568889,95,0.147074282,0.161924079
1559569258,96,0.146267548,0.160857901
1559569620,97,0.147202849,0.168643743
1559569985,98,0.145334825,0.161247641
1559570350,99,0.146283075,0.161165506
1559570713,100,0.145053953,0.157650605
1559571076,101,0.147827342,0.161659777
1559571436,102,0.147636309,0.158912763
1559571796,103,0.144264698,0.158477321
1559572157,104,0.146206155,0.152425811
1559572515,105,0.144887328,0.15765053
1559572878,106,0.145040482,0.152500778
1559573237,107,0.145086572,0.153314874
1559573594,108,0.145270094,0.147674367
1559573956,109,0.143631399,0.151932985
1559574315,110,0.146646127,0.149431333
1559574675,111,0.143797114,0.152995735
1559575035,112,0.143831581,0.150481761
1559575398,113,0.144292295,0.146184251
1559575757,114,0.143686667,0.155254051
1559576118,115,0.143606365,0.156711876
1559576479,116,0.144234627,0.149130046
1559576840,117,0.146626011,0.150767684
1559577203,118,0.143358648,0.146439031
1559577564,119,0.144170836,0.150174424
1559577926,120,0.143802494,0.146709889
1559578285,121,0.143550456,0.148272187
1559578646,122,0.144245222,0.149018854
1559579008,123,0.141543999,0.152730033
1559579370,124,0.144779935,0.139668584
1559579732,125,0.144405946,0.137961388
1559580094,126,0.142681509,0.147700608
1559580454,127,0.143831968,0.145265386
1559580815,128,0.141219765,0.146525025
1559581176,129,0.144566894,0.146655723
1559581538,130,0.145187095,0.146318704
1559581897,131,0.14302893,0.146286681
1559582259,132,0.144792572,0.14637132
1559582620,133,0.146534577,0.148863986
1559582983,134,0.142069131,0.15033628
1559583344,135,0.143638223,0.145422995
1559583706,136,0.145061076,0.143565938
1559584065,137,0.144148275,0.147489205
1559584427,138,0.144029096,0.147421733
1559584790,139,0.14407593,0.140505672
1559585151,140,0.146658719,0.143891796
1559585512,141,0.143732026,0.146957383
1559585871,142,0.142935589,0.144914612
1559586234,143,0.146041155,0.144905746
1559586595,144,0.147422835,0.141786873
1559586958,145,0.145059735,0.147218838
1559587320,146,0.14270097,0.149222106
1559587681,147,0.1434073,0.143432781
1559588044,148,0.144947484,0.141499177
1559588406,149,0.143067792,0.147501066
1559588766,150,0.146568269,0.146563187
1559589127,151,0.143892378,0.145735055
1559589489,152,0.144697607,0.147048846
1559589850,153,0.144640863,0.142904386
1559590211,154,0.144522697,0.144168764
1559590572,155,0.147819936,0.143127859
1559590932,156,0.144643545,0.148060292
1559591291,157,0.145244613,0.14560014
1559591652,158,0.143587202,0.140277162
1559592011,159,0.144754887,0.146896273
1559592374,160,0.145306855,0.141759187
1559592734,161,0.143467128,0.142149553
1559593095,162,0.14374347,0.139921725
1559593455,163,0.14498578,0.142097905
1559593816,164,0.145858511,0.147614688
1559594176,165,0.14399974,0.14319481
1559594534,166,0.144748732,0.142703116
1559594893,167,0.144082576,0.140767351
1559595257,168,0.144450247,0.146758884
1559595617,169,0.143954739,0.146151215
1559595979,170,0.143596351,0.143544257
1559596338,171,0.14399913,0.142336115
1559596701,172,0.145791471,0.145355061
1559597064,173,0.143455833,0.144879848
1559597426,174,0.145481184,0.145573407
1559597790,175,0.144928426,0.14373067
1559598152,176,0.143865898,0.14222537
1559598513,177,0.141904861,0.148315251
1559598874,178,0.143217444,0.149752155
1559599234,179,0.146316886,0.145686999
1559599595,180,0.146719903,0.147365704
1559599954,181,0.14421545,0.145418257
1559600315,182,0.145220518,0.144517973
1559600675,183,0.145879969,0.142558917
1559601034,184,0.145519078,0.142882183
1559601396,185,0.14540638,0.138359994
1559601756,186,0.142882168,0.142986223
1559602118,187,0.143636912,0.140093014
1559602481,188,0.144100279,0.145471305
1559602841,189,0.14569588,0.143904537
1559603202,190,0.144253328,0.140627995
1559603564,191,0.14300321,0.142151967
1559603925,192,0.144051775,0.146901011
1559604285,193,0.143145114,0.144468546
1559604649,194,0.143711627,0.143297449
1559605012,195,0.145852789,0.145042747
1559605374,196,0.146614283,0.146759629
1559605735,197,0.146091983,0.147571221
1559606096,198,0.143130839,0.141588464
1559606456,199,0.146048173,0.142141297
